wdpa_id,date,treecover_ha
28850,2021-01-01,86094.2219299237
30604,2021-01-01,386893.746458121
30605,2021-01-01,274090.413058729
30606,2021-01-01,112315.52135185
30614,2021-01-01,190061.150047237
30618,2021-01-01,506913.043789158
67670,2021-01-01,163086.227431927
102817,2021-01-01,143591.228385075
102910,2021-01-01,44898.4615488776
107569,2021-01-01,124397.26366835
115079,2021-01-01,30557.8208738554
116297,2021-01-01,75903.7066829286
220034,2021-01-01,340622.442244334
301932,2021-01-01,54726.9007039012
302086,2021-01-01,22545.9451741764
306780,2021-01-01,651260.896339742
342347,2021-01-01,387042.283280206
902858,2021-01-01,617168.216116414
197,2022-01-01,168744.81340976
227,2022-01-01,528061.067974766
3305,2022-01-01,192633.712138589
3306,2022-01-01,186344.325528856
3307,2022-01-01,152325.674081097
3311,2022-01-01,94775.2885425928
3314,2022-01-01,185766.141859031
12226,2022-01-01,135176.956070156
12229,2022-01-01,152537.226262424
12241,2022-01-01,163292.68234908
12570,2022-01-01,19968.8711525418
12572,2022-01-01,24658.7049663936
20224,2022-01-01,232933.616874602
20230,2022-01-01,357963.448168295
28850,2022-01-01,86094.2219299237
30604,2022-01-01,386893.746458121
30605,2022-01-01,274090.413058729
30606,2022-01-01,112315.52135185
30614,2022-01-01,190061.150047237
30618,2022-01-01,506913.043789158
67670,2022-01-01,163086.227431927
102817,2022-01-01,143591.228385075
102910,2022-01-01,44898.4615488776
107569,2022-01-01,124397.26366835
115079,2022-01-01,30557.8208738554
116297,2022-01-01,75903.7066829286
220034,2022-01-01,340622.442244334
301932,2022-01-01,54726.9007039012
302086,2022-01-01,22545.9451741764
306780,2022-01-01,651260.896339742
342347,2022-01-01,387042.283280206
902858,2022-01-01,617168.216116414
197,2023-01-01,168744.81340976
227,2023-01-01,528061.067974766
3305,2023-01-01,192633.712138589
3306,2023-01-01,186344.325528856
3307,2023-01-01,152325.674081097
3311,2023-01-01,94775.2885425928
3314,2023-01-01,185766.141859031
12226,2023-01-01,135176.956070156
12229,2023-01-01,152537.226262424
12241,2023-01-01,163292.68234908
12570,2023-01-01,19968.8711525418
12572,2023-01-01,24658.7049663936
20224,2023-01-01,232933.616874602
20230,2023-01-01,357963.448168295
28850,2023-01-01,86094.2219299237
30604,2023-01-01,386893.746458121
30605,2023-01-01,274090.413058729
30606,2023-01-01,112315.52135185
30614,2023-01-01,190061.150047237
30618,2023-01-01,506913.043789158
67670,2023-01-01,163086.227431927
102817,2023-01-01,143591.228385075
102910,2023-01-01,44898.4615488776
107569,2023-01-01,124397.26366835
115079,2023-01-01,30557.8208738554
116297,2023-01-01,75903.7066829286
220034,2023-01-01,340622.442244334
301932,2023-01-01,54726.9007039012
302086,2023-01-01,22545.9451741764
306780,2023-01-01,651260.896339742
342347,2023-01-01,387042.283280206
902858,2023-01-01,617168.216116414
